
Name,URL
"Shiv Shakti Hanuman Mandir, Purohit","https://www.google.com/maps/place/Shiv+Shakti+Hanuman+Mandir,+Purohit/data=!4m7!3m6!1s0x390d195fd2c0e1b3:0xa2d213ea9cf6709e!8m2!3d28.496748!4d77.0562055!16s%2Fg%2F11mhm5xxjz!19sChIJs-HA0l8ZDTkRnnD2nOoT0qI?authuser=0&hl=en&rclk=1"
"Shri Mata Sheetla Devi Mandir (Gurugram, Haryana)","https://www.google.com/maps/place/Shri+Mata+Sheetla+Devi+Mandir+%28Gurugram,+Haryana%29/data=!4m7!3m6!1s0x390d19308fb38635:0xd93a681e1eb3e03c!8m2!3d28.4788252!4d77.0309732!16s%2Fg%2F11clyt6bj2!19sChIJNYazjzAZDTkRPOCzHh5oOtk?authuser=0&hl=en&rclk=1"
"Shiv ji Temple, Gurugram, Delhi NCR","https://www.google.com/maps/place/Shiv+ji+Temple,+Gurugram,+Delhi+NCR/data=!4m7!3m6!1s0x390d1983c151ef49:0x456922e013b65f8e!8m2!3d28.5089218!4d77.0525327!16s%2Fg%2F11h0kbyh7!19sChIJSe9RwYMZDTkRjl-2E-AiaUU?authuser=0&hl=en&rclk=1"
"Ancient Shiv Temple, Carterpuri, Gurugram","https://www.google.com/maps/place/Ancient+Shiv+Temple,+Carterpuri,+Gurugram/data=!4m7!3m6!1s0x390d198f5809d1db:0xe9d73693572b2741!8m2!3d28.5085668!4d77.0440091!16s%2Fg%2F11c1wkq4ns!19sChIJ29EJWI8ZDTkRQScrV5M21-k?authuser=0&hl=en&rclk=1"
ISKCON Sri Sri Radha Gopinath Temple Sector 45 Gurugram,https://www.google.com/maps/place/ISKCON+Sri+Sri+Radha+Gopinath+Temple+Sector+45+Gurugram/data=!4m7!3m6!1s0x390d188eb63e584f:0x657cca04ccc9bed6!8m2!3d28.4408227!4d77.0626499!16s%2Fg%2F11gh3461vc!19sChIJT1g-to4YDTkR1r7JzATKfGU?authuser=0&hl=en&rclk=1
"Shri Radha Krishna Temple Gurugram, Delhi NCR","https://www.google.com/maps/place/Shri+Radha+Krishna+Temple+Gurugram,+Delhi+NCR/data=!4m7!3m6!1s0x390d197cb292f139:0xd669664371ed78e1!8m2!3d28.5121737!4d77.0676039!16s%2Fg%2F11g8wd5_8w!19sChIJOfGSsnwZDTkR4XjtcUNmadY?authuser=0&hl=en&rclk=1"
Radha Krishna Mandir,https://www.google.com/maps/place/Radha+Krishna+Mandir/data=!4m7!3m6!1s0x390d198e7e51564f:0x7558f2b60c921779!8m2!3d28.5057612!4d77.0394106!16s%2Fg%2F1261tldn4!19sChIJT1ZRfo4ZDTkReReSDLbyWHU?authuser=0&hl=en&rclk=1
Jagannath Temple,https://www.google.com/maps/place/Jagannath+Temple/data=!4m7!3m6!1s0x390d1845700b5caf:0x8d432620b50b5f18!8m2!3d28.456729!4d77.0426938!16s%2Fg%2F1261c_jnb!19sChIJr1wLcEUYDTkRGF8LtSAmQ40?authuser=0&hl=en&rclk=1
"Shri Jagannath Temple, Gurugram, Delhi NCR","https://www.google.com/maps/place/Shri+Jagannath+Temple,+Gurugram,+Delhi+NCR/data=!4m7!3m6!1s0x390d18e8c1fe29ef:0x37468b08c4fde99e!8m2!3d28.4587598!4d77.0747767!16s%2Fg%2F11fx7p7mw6!19sChIJ7yn-wegYDTkRnun9xAiLRjc?authuser=0&hl=en&rclk=1"
Ayyappa Temple,https://www.google.com/maps/place/Ayyappa+Temple/data=!4m7!3m6!1s0x390d1bd8acc94493:0x22221651e439f9f9!8m2!3d28.5184258!4d77.0739032!16s%2Fg%2F1tfvrblp!19sChIJk0TJrNgbDTkR-fk55FEWIiI?authuser=0&hl=en&rclk=1
